Removed Pin From Net: NetName=VCC_5V Pin=D6-K
Added Pin To Net: NetName=VCC_5V Pin=*1-2
Added Pin To Net: NetName=VCC_5V Pin=C6-1
Added Pin To Net: NetName=VCC_5V Pin=C7-2
Added Pin To Net: NetName=VCC_5V Pin=C12-1
Added Pin To Net: NetName=VCC_5V Pin=C13-2
Added Pin To Net: NetName=VCC_5V Pin=C38-1
Added Pin To Net: NetName=VCC_5V Pin=C39-2
Added Pin To Net: NetName=GND Pin=LED1-K
Added Pin To Net: NetName=GND Pin=LED2-K
Added Pin To Net: NetName=GND Pin=LED3-K
Added Pin To Net: NetName=NetLED4_K Pin=LED4-K
Added Pin To Net: NetName=NetLED5_K Pin=LED5-K
Added Pin To Net: NetName=GND Pin=LED6-K
Added Pin To Net: NetName=GND Pin=LED7-K
Added Pin To Net: NetName=VCC_5V Pin=Q1-3
Added Pin To Net: NetName=VCC_5V Pin=R10-2
Added Pin To Net: NetName=VCC_5V Pin=R12-2
Added Pin To Net: NetName=VCC_5V Pin=R13-2
Added Pin To Net: NetName=VCC_5V Pin=U2-4
Added Pin To Net: NetName=VCC_5V Pin=U2-8
Added Pin To Net: NetName=VCC_5V Pin=U4-3
Added Pin To Net: NetName=HUMID_SENSOR_PIN Pin=U7-1
Added Pin To Net: NetName=HUMID_SENSOR_PIN Pin=U11-1
Added Pin To Net: NetName=HUMID_SENSOR_PIN Pin=U13-1
Added Room: Name=U_[F_V1]_PowerSheet
Added Room: Name=U_[F_V1]MCU_Sheet
